ticket_id,ticket_text,issue_type,urgency_level,product,processed_text,text_length
1,Payment issue for my SmartWatch V2. I was underbilled for order #29224.,Billing Problem,Medium,SmartWatch V2,payment issue smartwatch v underbilled order,71
2,"Can you tell me more about the UltraClean Vacuum warranty? Also, is it available in white?",General Inquiry,Unknown,UltraClean Vacuum,tell ultraclean vacuum warranty also available white,90
3,I ordered SoundWave 300 but got EcoBreeze AC instead. My order number is #36824.,Wrong Item,Medium,SoundWave 300,ordered soundwave got ecobreeze ac instead order number,80
4,Facing installation issue with PhotoSnap Cam. Setup fails at step 1.,Installation Issue,Low,PhotoSnap Cam,facing installation issue photosnap cam setup fails step,68
5,"Order #30903 for Vision LED TV is 13 days late. Ordered on 03 March. Also, I contacted support on 03 March but got no response.",Late Delivery,Unknown,Vision LED TV,order vision led tv day late ordered march also contacted support march got response,127
6,"Can you tell me more about the PhotoSnap Cam warranty? Also, is it available in red?",General Inquiry,Medium,PhotoSnap Cam,tell photosnap cam warranty also available red,84
7, is malfunction. It stopped working after just 7 days.,Product Defect,Low,EcoBreeze AC,malfunction stopped working day,54
8,"Facing installation issue with RoboChef Blender. Setup fails at step 3. Also, I contacted support on 17 March but got no response.",Installation Issue,High,RoboChef Blender,facing installation issue robochef blender setup fails step also contacted support march got response,130
9,Both my FitRun Treadmill and UltraClean Vacuum are error. Both giving issues.,Unknown,High,FitRun Treadmill,fitrun treadmill ultraclean vacuum error giving issue,77
10,,Product Defect,High,PhotoSnap Cam,,0
11,,Unknown,Medium,Vision LED TV,,0
12,Order #34285 placed on 18 March still not here.,Late Delivery,Medium,RoboChef Blender,order placed march still,47
13,Vision LED TV is no response. It stopped working after just 9 days.,Unknown,Unknown,Vision LED TV,vision led tv response stopped working day,67
14,"Both my PowerMax Battery and EcoBreeze AC are lost. Both giving issues. Also, I contacted support on 12 March but got no response.",Product Defect,High,PowerMax Battery,powermax battery ecobreeze ac lost giving issue also contacted support march got response,130
15,Order #53356 for RoboChef Blender is 18 days late. Ordered on 13 April.,Late Delivery,High,RoboChef Blender,order robochef blender day late ordered april,71
16,Order #49712 for RoboChef Blender is 4 days late. Ordered on 25 April.,Late Delivery,Medium,RoboChef Blender,order robochef blender day late ordered april,70
17,"Received wrong product, order mixed up. Also, I contacted support on 03 March but got no response.",Wrong Item,Medium,Vision LED TV,received wrong product order mixed also contacted support march got response,98
18,"Received wrong product, order mixed up.",Wrong Item,High,PhotoSnap Cam,received wrong product order mixed,39
19,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,PhotoSnap Cam,cant log account keep showing unknown issue help,62
20,Login not working.,Account Access,High,ProTab X1,login working,18
21,PhotoSnap Cam is faulty. It stopped working after just 1 days.,Product Defect,Medium,PhotoSnap Cam,photosnap cam faulty stopped working day,62
22,"Payment issue for my RoboChef Blender. I was not refunded for order #47429. Also, I contacted support on 02 March but got no response.",Billing Problem,Medium,RoboChef Blender,payment issue robochef blender refunded order also contacted support march got response,134
23,FitRun Treadmill is damaged. It stopped working after just 9 days.,Product Defect,Low,FitRun Treadmill,fitrun treadmill damaged stopped working day,66
24,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Low,EcoBreeze AC,cant log account keep showing blocked help,56
25,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in black?",General Inquiry,Unknown,FitRun Treadmill,tell fitrun treadmill warranty also available black,89
26,Facing installation issue with RoboChef Blender. Setup fails at step 6.,Unknown,Medium,RoboChef Blender,facing installation issue robochef blender setup fails step,71
27,Facing installation issue wit Vision LED TV. Setup fails at step 6.,Installation Issue,Low,Vision LED TV,facing installation issue wit vision led tv setup fails step,67
28,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in blue?",General Inquiry,Medium,RoboChef Blender,tell robochef blender warranty also available blue,88
29,FitRun Treadmill is malfunction. It stopped working after just 2 days.,Product Defect,Low,FitRun Treadmill,fitrun treadmill malfunction stopped working day,70
30,"Order #28983 for SmartWatch V2 is 17 days late. Ordered on 05 May. Also, I contacted support on 05 May but got no response.",Late Delivery,High,SmartWatch V2,order smartwatch v day late ordered may also contacted support may got response,123
31,Payment issue fr mi EcoBreeze AC. I was charged twice fr order #64374.,Billing Problem,Low,EcoBreeze AC,payment issue fr mi ecobreeze ac charged twice fr order,70
32,"FitRun Treadmill is lost. It stopped working after just 3 days. Also, I contacted support on 08 May but got no response.",Product Defect,Low,FitRun Treadmill,fitrun treadmill lost stopped working day also contacted support may got response,120
33,Order #79265 for EcoBreeze AC is 15 days late. Ordered on 17 March.,Late Delivery,Low,EcoBreeze AC,order ecobreeze ac day late ordered march,67
34,Payment problem fr order #88128. Need urgent help.,Billing Problem,Low,RoboChef Blender,payment problem fr order need urgent help,50
35,Order #58187 for EcoBreeze AC is 11 days late. Ordered on 30 March.,Late Delivery,Low,EcoBreeze AC,order ecobreeze ac day late ordered march,67
36,RoboChef Blender is malfunction. It stopped working after just 9 days.,Product Defect,High,RoboChef Blender,robochef blender malfunction stopped working day,70
37,Can't log in to my account. Keeps showing blocked. Help! Delivery expected by 04 March.,Unknown,High,FitRun Treadmill,cant log account keep showing blocked help delivery expected march,87
38,,Billing Problem,High,PhotoSnap Cam,,0
39,Payment issue for my ProTab X1. I was charged twice for order #14510.,Billing Problem,Medium,ProTab X1,payment issue protab x charged twice order,69
40,Facing installation issue with FitRun Treadmill. Setup fails at step 4.,Installation Issue,High,FitRun Treadmill,facing installation issue fitrun treadmill setup fails step,71
41,Payment issue for my FitRun Treadmill. I was not refunded for order #91776.,Billing Problem,Low,FitRun Treadmill,payment issue fitrun treadmill refunded order,75
42,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Medium,PhotoSnap Cam,cant log account keep showing captcha failed help,63
43,,Billing Problem,Medium,ProTab X1,,0
44,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,SoundWave 300,cant log account keep showing unknown issue help,62
45,Facing installation issue with RoboChef Blender. Setup fails at step 2.,Installation Issue,Low,RoboChef Blender,facing installation issue robochef blender setup fails step,71
46,"Can you tell me more about the  warranty? Also, is it available in black?",General Inquiry,High,UltraClean Vacuum,tell warranty also available black,73
47,Facing installation issue with PowerMax Battery. Setup fails at step 2.,Installation Issue,Medium,PowerMax Battery,facing installation issue powermax battery setup fails step,71
48,"Can you tell me more about the ProTab X1 warranty? Also, is it available in red?",General Inquiry,Low,ProTab X1,tell protab x warranty also available red,80
49,Facing installation issue wit EcoBreeze AC. Setup fails at step 2.,Installation Issue,Medium,EcoBreeze AC,facing installation issue wit ecobreeze ac setup fails step,66
50,"Vision LED TV is lost. It stopped working after just 3 days. Also, I contacted support on 18 May but got no response.",Product Defect,High,Vision LED TV,vision led tv lost stopped working day also contacted support may got response,117
51,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white? Also, I contacted support on 04 April but got no response. Delivery expected by 04 April.",General Inquiry,High,ProTab X1,tell protab x warranty also available white also contacted support april got response delivery expected april,172
52,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in white? Also, I contacted support on 13 April but got no response.",General Inquiry,High,FitRun Treadmill,tell fitrun treadmill warranty also available white also contacted support april got response,148
53,Facing installation issue with EcoBreeze AC. Setup fails at step 6. Delivery expected by 26 April.,Installation Issue,High,EcoBreeze AC,facing installation issue ecobreeze ac setup fails step delivery expected april,98
54,Payment issue fr mi . I was charged twice fr order #45453.,Billing Problem,High,UltraClean Vacuum,payment issue fr mi charged twice fr order,58
55,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Medium,SoundWave 300,cant log account keep showing blocked help,56
56,Facing installation issue with Vision LED TV. Setup fails at step 2.,Installation Issue,Low,Vision LED TV,facing installation issue vision led tv setup fails step,68
57,Payment issue for my Vision LED TV. I was not refunded for order #77581.,Billing Problem,Medium,Vision LED TV,payment issue vision led tv refunded order,72
58,"Can you tell me more about the  warranty? Also, is it available in white? Delivery expected by 19 March.",Unknown,High,Vision LED TV,tell warranty also available white delivery expected march,104
59,I ordered SmartWatch V2 but got PowerMax Battery instead. My order number is #65084. Delivery expected by 12 April.,Wrong Item,Unknown,SmartWatch V2,ordered smartwatch v got powermax battery instead order number delivery expected april,115
60,Payment issue for my ProTab X1. I was debited incorrectly for order #19053.,Billing Problem,Medium,ProTab X1,payment issue protab x debited incorrectly order,75
61,"Payment issue for my FitRun Treadmill. I was overbilled for order #84201. Also, I contacted support on 16 May but got no response.",Billing Problem,High,FitRun Treadmill,payment issue fitrun treadmill overbilled order also contacted support may got response,130
62,Payment problem for order #67337. Need urgent help. Delivery expected by 19 March.,Billing Problem,Low,PhotoSnap Cam,payment problem order need urgent help delivery expected march,82
63,"I ordered PowerMax Battery but got ProTab X1 instead. My order number is #97429. Also, I contacted support on 07 April but got no response.",Wrong Item,High,PowerMax Battery,ordered powermax battery got protab x instead order number also contacted support april got response,139
64,PhotoSnap Cam is faulty. It stopped working after just 7 days.,Product Defect,Medium,PhotoSnap Cam,photosnap cam faulty stopped working day,62
65,"Can you tell me more about the Vision LED TV warranty? Also, is it available in blue?",General Inquiry,Low,Vision LED TV,tell vision led tv warranty also available blue,85
66,Order #95306 for PhotoSnap Cam is 17 days late. Ordered on 09 March.,Late Delivery,Low,PhotoSnap Cam,order photosnap cam day late ordered march,68
67,Order #96823 for SmartWatch V2 is 14 days late. Ordered on 16 March.,Late Delivery,Medium,SmartWatch V2,order smartwatch v day late ordered march,68
68,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,High,Vision LED TV,cant log account keep showing captcha failed help,63
69,"Facing installation issue with SoundWave 300. Setup fails at step 6. Also, I contacted support on 06 April but got no response.",Installation Issue,Medium,SoundWave 300,facing installation issue soundwave setup fails step also contacted support april got response,127
70,Payment issue for my SmartWatch V2. I was not refunded for order #40696.,Billing Problem,Low,SmartWatch V2,payment issue smartwatch v refunded order,72
71,"Can you tell me more about the PhotoSnap Cam warranty? Also, is it available in red? Also, I contacted support on 11 March but got no response.",General Inquiry,Medium,PhotoSnap Cam,tell photosnap cam warranty also available red also contacted support march got response,143
72,Order #53287 for PowerMax Battery is 8 days late. Ordered on 08 April.,Late Delivery,Medium,PowerMax Battery,order powermax battery day late ordered april,70
73,Facing installation issue with . Setup fails at step 2.,Installation Issue,Medium,UltraClean Vacuum,facing installation issue setup fails step,55
74,Facing installation issue with . Setup fails at step 2.,Installation Issue,High,ProTab X1,facing installation issue setup fails step,55
75, is error. It stopped working after just 5 days.,Product Defect,Low,EcoBreeze AC,error stopped working day,48
76,Facing installation issue with . Setup fails at step 3.,Installation Issue,Unknown,EcoBreeze AC,facing installation issue setup fails step,55
77,"Order #61645 for PhotoSnap Cam is 18 days late. Ordered on 03 April. Also, I contacted support on 03 April but got no response.",Late Delivery,Medium,PhotoSnap Cam,order photosnap cam day late ordered april also contacted support april got response,127
78,Payment issue for my SoundWave 300. I was overbilled for order #57017.,Billing Problem,Medium,SoundWave 300,payment issue soundwave overbilled order,70
79,Payment issue fr mi PhotoSnap Cam. I was underbilled fr order #45489.,Billing Problem,Medium,PhotoSnap Cam,payment issue fr mi photosnap cam underbilled fr order,69
80,"Order #29495 for ProTab X1 is 14 days late. Ordered on 01 May. Also, I contacted support on 01 May but got no response.",Unknown,High,ProTab X1,order protab x day late ordered may also contacted support may got response,119
81,I ordered PhotoSnap Cam but got FitRun Treadmill instead. My order number is #64401.,Wrong Item,Medium,PhotoSnap Cam,ordered photosnap cam got fitrun treadmill instead order number,84
82,"Can you tell me more about the SoundWave 300 warranty? Also, is it available in black?",General Inquiry,High,SoundWave 300,tell soundwave warranty also available black,86
83,Facing installation issue with . Setup fails at step 1.,Installation Issue,High,FitRun Treadmill,facing installation issue setup fails step,55
84,,General Inquiry,Low,RoboChef Blender,,0
85,"Can you tell me more about the  warranty? Also, is it available in blue?",General Inquiry,Medium,SmartWatch V2,tell warranty also available blue,72
86,I ordered SmartWatch V2 but got SoundWave 300 instead. My order number is #24006.,Wrong Item,Medium,SmartWatch V2,ordered smartwatch v got soundwave instead order number,81
87,PowerMax Battery is glitchy. It stopped working after just 7 days.,Product Defect,Low,PowerMax Battery,powermax battery glitchy stopped working day,66
88,I ordered  but got SmartWatch V2 instead. My order number is #67796.,Wrong Item,High,PowerMax Battery,ordered got smartwatch v instead order number,68
89,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white? Also, I contacted support on 08 March but got no response.",General Inquiry,High,ProTab X1,tell protab x warranty also available white also contacted support march got response,141
90,"Can you tell me more about the PowerMax Battery warranty? Also, is it available in black? Delivery expected by 09 April.",General Inquiry,High,PowerMax Battery,tell powermax battery warranty also available black delivery expected april,120
